,CODE,GEOG,AREA,Year,Bungalow,Flats,House_Detached,House_Terraced,House_Semi,Others
0,E01033626,LSOA,Birmingham 134D,2014,0.0,540.0,0.0,120.0,30.0,0
1,E01033640,LSOA,Birmingham 134E,2014,0.0,630.0,0.0,120.0,50.0,10
2,E02006896,MSOA,Birmingham 135,2014,0.0,3100.0,20.0,190.0,120.0,50
3,E01009378,LSOA,Birmingham 135A,2014,0.0,910.0,20.0,190.0,120.0,40
4,E01033567,LSOA,Birmingham 135B,2014,0.0,760.0,0.0,0.0,0.0,0
5,E01033615,LSOA,Birmingham 135C,2014,0.0,660.0,0.0,0.0,0.0,0
6,E01033616,LSOA,Birmingham 135D,2014,0.0,760.0,0.0,0.0,0.0,0
7,E02006897,MSOA,Birmingham 136,2014,10.0,3820.0,0.0,390.0,30.0,40
8,E01009143,LSOA,Birmingham 136A,2014,10.0,710.0,0.0,170.0,10.0,10
9,E01009146,LSOA,Birmingham 136B,2014,0.0,1420.0,0.0,0.0,0.0,30
10,E01033564,LSOA,Birmingham 136C,2014,0.0,790.0,0.0,20.0,10.0,10
11,E01033639,LSOA,Birmingham 136D,2014,0.0,900.0,0.0,210.0,0.0,0
12,E02006898,MSOA,Birmingham 137,2014,40.0,3290.0,0.0,610.0,70.0,30
13,E01009141,LSOA,Birmingham 137A,2014,0.0,810.0,0.0,200.0,30.0,20
14,E01033565,LSOA,Birmingham 137B,2014,0.0,660.0,0.0,0.0,0.0,0
15,E01033618,LSOA,Birmingham 137C,2014,0.0,810.0,0.0,0.0,0.0,10
16,E01033619,LSOA,Birmingham 137D,2014,10.0,570.0,0.0,200.0,0.0,0
17,E01033627,LSOA,Birmingham 137E,2014,30.0,440.0,0.0,230.0,20.0,0
18,E02006899,MSOA,Birmingham 138,2014,0.0,4000.0,0.0,40.0,0.0,20
19,E01033620,LSOA,Birmingham 138A,2014,0.0,730.0,0.0,0.0,0.0,0
20,E01009200,LSOA,Birmingham 139A,2014,0.0,370.0,80.0,320.0,100.0,10
21,E01009327,LSOA,Birmingham 139B,2014,0.0,20.0,0.0,700.0,0.0,0
22,E01009328,LSOA,Birmingham 139C,2014,0.0,70.0,0.0,920.0,0.0,0
23,E01009331,LSOA,Birmingham 139D,2014,0.0,10.0,0.0,940.0,0.0,0
24,E01009332,LSOA,Birmingham 139E,2014,0.0,220.0,0.0,580.0,40.0,20
25,E01009333,LSOA,Birmingham 139F,2014,0.0,30.0,0.0,760.0,0.0,0
26,E01009335,LSOA,Birmingham 139G,2014,0.0,30.0,0.0,870.0,0.0,0
27,E01009344,LSOA,Birmingham 139H,2014,0.0,160.0,0.0,590.0,30.0,10
28,E02006901,MSOA,Birmingham 140,2014,10.0,440.0,60.0,6060.0,730.0,60
29,E01009339,LSOA,Birmingham 140A,2014,0.0,100.0,0.0,480.0,210.0,10
30,E01009340,LSOA,Birmingham 140B,2014,0.0,90.0,0.0,1410.0,30.0,20
31,E01009382,LSOA,Birmingham 140C,2014,0.0,70.0,20.0,630.0,40.0,10
32,E01009391,LSOA,Birmingham 140D,2014,0.0,80.0,0.0,790.0,0.0,20
33,E01009392,LSOA,Birmingham 140E,2014,0.0,10.0,40.0,530.0,220.0,0
34,E01009393,LSOA,Birmingham 140F,2014,0.0,50.0,0.0,720.0,20.0,10
35,E01033641,LSOA,Birmingham 140G,2014,10.0,50.0,0.0,1530.0,180.0,0
36,E01009109,LSOA,Birmingham 123B,2014,10.0,450.0,0.0,300.0,140.0,0
37,E01009119,LSOA,Birmingham 123C,2014,30.0,160.0,140.0,350.0,380.0,30
38,E01009120,LSOA,Birmingham 123D,2014,0.0,230.0,60.0,330.0,370.0,0
39,E02001950,MSOA,Birmingham 124,2014,500.0,790.0,350.0,870.0,3990.0,40
40,E01009162,LSOA,Birmingham 124A,2014,30.0,180.0,40.0,140.0,880.0,10
41,E01009207,LSOA,Birmingham 124B,2014,0.0,110.0,80.0,40.0,1020.0,0
42,E01009208,LSOA,Birmingham 124C,2014,10.0,100.0,140.0,140.0,1040.0,10
43,E01009209,LSOA,Birmingham 124D,2014,110.0,250.0,50.0,290.0,690.0,10
44,E01009213,LSOA,Birmingham 124E,2014,350.0,140.0,60.0,280.0,360.0,20
45,E02001951,MSOA,Birmingham 125,2014,270.0,820.0,240.0,3230.0,910.0,180
46,E01009155,LSOA,Birmingham 125B,2014,70.0,80.0,0.0,670.0,80.0,0
47,E01009157,LSOA,Birmingham 125D,2014,70.0,90.0,0.0,700.0,100.0,10
48,E01009160,LSOA,Birmingham 125E,2014,10.0,480.0,0.0,310.0,180.0,80
49,E01009161,LSOA,Birmingham 125F,2014,40.0,40.0,100.0,490.0,190.0,90
50,E01033633,LSOA,Birmingham 125G,2014,80.0,130.0,140.0,1090.0,380.0,0
51,E02001952,MSOA,Birmingham 126,2014,220.0,1770.0,260.0,2040.0,1670.0,0
52,E01009117,LSOA,Birmingham 126A,2014,60.0,310.0,50.0,470.0,330.0,0
53,E01009210,LSOA,Birmingham 126B,2014,20.0,300.0,180.0,420.0,360.0,0
54,E01009212,LSOA,Birmingham 126C,2014,40.0,260.0,20.0,380.0,450.0,0
55,E01009214,LSOA,Birmingham 126D,2014,40.0,280.0,0.0,430.0,370.0,0
56,E01009215,LSOA,Birmingham 126E,2014,40.0,620.0,20.0,360.0,190.0,0
57,E02001953,MSOA,Birmingham 127,2014,70.0,470.0,1090.0,1590.0,2110.0,20
58,E01009108,LSOA,Birmingham 127A,2014,20.0,30.0,270.0,130.0,460.0,0
59,E01009111,LSOA,Birmingham 127B,2014,0.0,150.0,60.0,60.0,810.0,0
60,E01009112,LSOA,Birmingham 127C,2014,0.0,90.0,100.0,570.0,440.0,0
61,E01009116,LSOA,Birmingham 127D,2014,10.0,100.0,600.0,100.0,200.0,10
62,E01009118,LSOA,Birmingham 127E,2014,10.0,100.0,60.0,730.0,180.0,10
63,E02001954,MSOA,Birmingham 128,2014,240.0,910.0,200.0,2740.0,1090.0,50
64,E01009107,LSOA,Birmingham 128A,2014,20.0,470.0,20.0,410.0,250.0,10
65,E01009110,LSOA,Birmingham 128B,2014,40.0,170.0,40.0,440.0,320.0,20
66,E01009113,LSOA,Birmingham 128C,2014,60.0,150.0,0.0,700.0,110.0,10
67,E01009114,LSOA,Birmingham 128D,2014,50.0,80.0,40.0,660.0,250.0,0
68,E01009115,LSOA,Birmingham 128E,2014,50.0,70.0,100.0,570.0,170.0,10
69,E02001955,MSOA,Birmingham 129,2014,100.0,640.0,200.0,2020.0,1800.0,40
70,E01009158,LSOA,Birmingham 129A,2014,30.0,70.0,60.0,840.0,370.0,10
71,E01009163,LSOA,Birmingham 129B,2014,40.0,180.0,100.0,510.0,460.0,0
72,E01009165,LSOA,Birmingham 129C,2014,20.0,350.0,40.0,350.0,190.0,20
73,E01009169,LSOA,Birmingham 129D,2014,20.0,30.0,20.0,350.0,770.0,10
74,E02001956,MSOA,Birmingham 130,2014,80.0,700.0,760.0,1050.0,2030.0,20
75,E01009159,LSOA,Birmingham 130A,2014,0.0,250.0,590.0,240.0,340.0,0
76,E01009164,LSOA,Birmingham 130B,2014,40.0,130.0,60.0,350.0,550.0,0
77,E01009167,LSOA,Birmingham 130C,2014,0.0,160.0,0.0,270.0,620.0,0
78,E01009171,LSOA,Birmingham 130D,2014,30.0,180.0,100.0,190.0,560.0,10
79,E02001957,MSOA,Birmingham 131,2014,100.0,400.0,230.0,2190.0,2830.0,10
80,E01009166,LSOA,Birmingham 131A,2014,20.0,140.0,0.0,150.0,620.0,0
81,E01009168,LSOA,Birmingham 131B,2014,10.0,0.0,60.0,560.0,470.0,0
82,E01009170,LSOA,Birmingham 131C,2014,10.0,0.0,20.0,360.0,620.0,0
83,E01009216,LSOA,Birmingham 131D,2014,60.0,240.0,140.0,350.0,610.0,0
84,E01009217,LSOA,Birmingham 131E,2014,0.0,20.0,0.0,720.0,480.0,0
85,E02006807,MSOA,Birmingham 132,2014,90.0,230.0,800.0,550.0,4090.0,20
86,E01009039,LSOA,Birmingham 132A,2014,30.0,20.0,220.0,50.0,940.0,0
87,E01009040,LSOA,Birmingham 132B,2014,30.0,20.0,320.0,0.0,850.0,10
88,E01009041,LSOA,Birmingham 132C,2014,20.0,30.0,40.0,50.0,1080.0,0
89,E01009042,LSOA,Birmingham 132D,2014,10.0,10.0,40.0,340.0,680.0,0
90,E01032589,LSOA,Birmingham 132E,2014,0.0,170.0,200.0,110.0,540.0,10
91,E02006809,MSOA,Birmingham 133,2014,110.0,200.0,2110.0,230.0,3390.0,40
92,E01009262,LSOA,Birmingham 133A,2014,30.0,40.0,270.0,90.0,490.0,40
93,E01009267,LSOA,Birmingham 133B,2014,30.0,110.0,300.0,20.0,560.0,0
94,E01009276,LSOA,Birmingham 133C,2014,0.0,0.0,340.0,40.0,720.0,0
